nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,uci_principal_investigator,uci_study_director,uci_study_chair,uci_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00499616,2021-07-01,2007-07-10,2015-12-01,Interventional,Phase 3,464,Completed,Combination Chemotherapy and Surgery With or Without Isotretinoin in Treating Young Patients With Neuroblastoma,2007-10-08T00:00:00Z,2021-06-30T00:00:00Z,2014-06-30T00:00:00Z,TRUE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,Lucile Packard Children's Hospital at Stanford University Medical Center,NA,2007,2007,2021,2014
NCT00556946,2017-02-08,2007-11-09,2016-02-05,Interventional,Not Applicable,17,Completed,Combined Photodynamic and Pulsed Dye Laser Treatment of Port Wine Stains,2005-08-01T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Beckman Laser Institute University of California Irvine,NA,NA,NA,2007,2005,2014,2014
NCT00610467,2020-04-15,2008-01-12,2018-02-01,Interventional,Not Applicable,2,Terminated,Combined MRI and Optical Imaging to Improved Breast Cancer Diagnosis,2006-10-01T00:00:00Z,2017-10-30T00:00:00Z,2016-10-30T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2008,2006,2017,2016
NCT00800722,2017-02-08,2008-12-01,NA,Interventional,Phase 1,21,Completed,A Randomized Trial to Study Combined Pulsed Dye Laser and Rapamycin Treatment of Port Wine Stain Birthmarks.,2008-11-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Beckman Laser Institute University of California Irvine,NA,NA,NA,2008,2008,2014,2014
NCT00830466,2017-02-08,2009-01-27,NA,Interventional,Phase 1,22,Completed,A Randomized Trial to Study Combined Pulsed Dye Laser and Rapamycin Treatment of Port Wine Stain Birthmarks.,2008-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"Beckman Laser Institute and Medical Clinic, University of California Irvine",NA,NA,NA,2009,2008,2016,2016
NCT00842764,2021-04-01,2009-02-11,2018-02-06,Interventional,Not Applicable,7,Completed,Minimally Invasive Holmium:YAG Laser Blepharoplasty,2009-01-01T00:00:00Z,2014-09-01T00:00:00Z,2014-09-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"Otolaryngology, UCIMC",NA,NA,NA,2009,2009,2014,2014
NCT00915031,2019-03-06,2009-06-03,2017-05-22,Interventional,Not Applicable,738,Completed,Use of Hypothermia During Robotic Prostatectomy,2009-08-01T00:00:00Z,2015-06-01T00:00:00Z,2015-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2009,2009,2015,2015
NCT00928564,2021-01-22,2009-06-24,2018-02-09,Interventional,Not Applicable,40,Completed,Addition of Pudendal Blocks to Pelvic Floor Physical Therapy for the Treatment of Pelvic Floor Tension Myalgia,2009-04-01T00:00:00Z,2016-05-01T00:00:00Z,2015-12-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2009,2009,2016,2015
NCT01297959,2021-01-21,2011-02-11,2020-12-22,Interventional,Phase 3,503,Completed,Study to Evaluate Efficacy and Safety of E-101 Solution for Preventing Surgical Site Infections After Colorectal Surgery,2013-01-10T00:00:00Z,2015-10-14T00:00:00Z,2015-10-14T00:00:00Z,TRUE,Randomized,Double,INDUSTRY,TRUE,"University of California, Irvine",NA,NA,NA,2011,2013,2015,2015
NCT01313923,2017-05-08,2011-03-10,2014-12-17,Interventional,Early Phase 1,3,Terminated,Evaluating Sirolimus to Treat Autoimmune Blistering Dermatosis Pemphigus,2011-02-01T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2011,2011,2014,2014
NCT01423266,2016-05-19,2011-08-15,NA,Interventional,Not Applicable,78,Completed,Effects of a High Protein Diet on Clinical Outcomes in Heart Failure,2009-12-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2011,2009,2015,2015
NCT01479478,2018-08-14,2011-11-22,2018-07-18,Interventional,Not Applicable,251,Completed,Effects of Oral Probiotic Supplementation on Group B Strep (GBS) Rectovaginal Colonization in Pregnancy,2011-11-01T00:00:00Z,2017-07-26T00:00:00Z,2017-07-26T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,Stanford University School of Medicine/Lucile Packard Children's Hospital,NA,NA,NA,2011,2011,2017,2017
NCT01529879,2022-03-24,2012-02-07,NA,Interventional,Not Applicable,49,Completed,Assessment of the Effect of an Implant System With a Novel Abutment Attachment Design on Crestal Bone Preservation,2011-08-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,Randomized,Single,INDUSTRY,FALSE,Institucion Universitaria Colegios de Colombia,NA,NA,NA,2012,2011,2016,2016
NCT01564485,2021-06-07,2012-02-24,2018-01-11,Interventional,Not Applicable,193,Completed,Cardiac CT's Role in Asymptomatic Patients With Diabetes and Metabolic Syndrome,2008-07-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2012,2008,2016,2016
NCT01602536,2015-12-04,2012-05-17,NA,Interventional,Not Applicable,280,Completed,Twitter-enabled Mobile Messaging for Smoking Relapse Prevention,2012-01-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, Irvine",NA,NA,NA,2012,2012,2014,2014
NCT01684657,2014-05-19,2012-07-24,NA,Interventional,Phase 3,32,Suspended,"A Randomized, Placebo-Controlled Study to Evaluate the Efficacy and Tolerability of Asenapine With Flexible Dosing From 5mg to 20mg in Adults With Developmental Stuttering",2012-09-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,UCIMC,NA,NA,NA,2012,2012,2014,2014
NCT01699581,2016-10-17,2012-09-27,NA,Interventional,Phase 2,35,Terminated,Assessment of Impact Nutritional Program During Autologous Stem Cell Transplant,2012-09-01T00:00:00Z,2015-10-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,NA,2012,2012,2015,2014
NCT01729273,2014-10-02,2012-11-13,NA,Interventional,Not Applicable,20,Completed,Vascular Health and Exercise Performance of Overweight Children,2012-07-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Lucile Packard Children's Hospital - Pediatric Cardiology,Lucile Packard Children's Hospital - Pediatric Cardiology,Lucile Packard Children's Hospital - Pediatric Cardiology,NA,2012,2012,2014,2014
NCT01759862,2019-02-11,2012-12-30,2019-02-11,Interventional,Not Applicable,50,Completed,Perioperative Aminophylline to Improve Early Kidney Function After a Kidney Transplant,2012-11-01T00:00:00Z,2017-07-25T00:00:00Z,2017-01-05T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,NA,"Medical director, Pediatric Kidney Transplant Program Department of Pediatric Nephrology , Lucile Packard Children's hospital",NA,NA,2012,2012,2017,2017
NCT01769326,2017-06-05,2012-11-16,2017-02-15,Interventional,Not Applicable,40,Completed,Influence of Timing on Motor Learning,2012-09-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,TRUE,Randomized,Single,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2012,2012,2016,2016
NCT01775722,2018-03-09,2013-01-14,2015-08-27,Interventional,Not Applicable,22,Completed,Combined Bipolar Radiofrequency&Pulsed Dye Laser Treatment,2012-12-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,"Beckman Laser Institute, UCI",NA,NA,NA,2013,2012,2015,2015
NCT01780636,2021-10-05,2013-01-25,2018-02-05,Interventional,Phase 2/Phase 3,7,Terminated,Ultrasound and EMG Guided Botox Injection for the Treatment of Non-Relaxing Puborectalis Syndrome,2013-01-01T00:00:00Z,2014-07-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2013,2014,2014
NCT01841619,2015-07-14,2013-04-21,2014-12-08,Interventional,Early Phase 1,16,Completed,IVIg Efficacy Study to Treat Cutaneous Lupus Erythematosus,2013-03-01T00:00:00Z,2014-11-01T00:00:00Z,2014-11-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, Irvine",NA,NA,NA,2013,2013,2014,2014
NCT01876602,2018-05-14,2013-06-10,NA,Interventional,Not Applicable,140,Completed,Test of an Intervention to Increase Physical Activity Among School Children,2011-04-01T00:00:00Z,2017-03-01T00:00:00Z,2017-03-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2011,2017,2017
NCT01882985,2020-12-30,2013-06-18,2018-03-02,Interventional,Phase 2,14,Completed,"Docetaxel Plus Lycopene in Castration Resistant, Chemotherapy-Naïve Prostate Cancer Patients",2010-12-01T00:00:00Z,2016-10-01T00:00:00Z,2016-10-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2010,2016,2016
NCT02020863,2016-04-20,2013-12-19,2016-03-08,Interventional,Not Applicable,40,Completed,Closed-Loop Fluid Administration System Using Hemodynamic Monitors,2012-11-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Irvine",NA,NA,NA,2013,2012,2014,2014
NCT02034071,2016-08-30,2014-01-08,NA,Interventional,Phase 1/Phase 2,13,Completed,Clinical Study of Diazoxide Choline Controlled-Release Tablet (DCCR) in Patients With Prader-Willi Syndrome,2014-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,FALSE,"University of California, Irvine",NA,NA,NA,2014,2014,2015,2015
