nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,registration_year,start_year,completion_year,primary_completion_year
NCT00074152,2017-05-23,2003-12-10,2015-04-07,Interventional,Phase 3,162,Completed,Adjuvant Chemotherapy in Treating Women Who Have Undergone Resection for Relapsed Breast Cancer; Chemotherapy as Adjuvant for LOcally Recurrent Breast Cancer,2002-07-01T00:00:00Z,2016-08-22T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,"Stanford Cancer Center, CA, USA",2003,2002,2016,2014
NCT00185640,2021-06-24,2005-09-12,2016-12-01,Interventional,Phase 2,303,Completed,Allogeneic Transplantation Using Total Lymphoid Irradiation (TLI) and Anti-Thymocyte Globulin (ATG) for Older Patients With Hematologic Malignancies,2003-03-01T00:00:00Z,2016-01-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2005,2003,2016,2014
NCT00185796,2015-03-16,2005-09-12,NA,Interventional,Phase 2,77,Completed,TLI & ATG for Non-Myeloablative Allogeneic Transplantation for MDS and MPD,2004-07-01T00:00:00Z,2015-02-01T00:00:00Z,2014-04-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2005,2004,2015,2014
NCT00186069,2017-12-01,2005-09-13,2016-10-12,Interventional,Not Applicable,30,Completed,Magnesium Sulfate vs Placebo for Placental Abruption,2004-03-01T00:00:00Z,2017-11-01T00:00:00Z,2014-06-01T00:00:00Z,TRUE,Randomized,Double,OTHER,TRUE,Stanford University,NA,NA,NA,NA,2005,2004,2017,2014
NCT00296296,2017-10-04,2006-02-22,2017-09-06,Interventional,Phase 4,29,Completed,Immunosuppression Impact on the Metabolic Control of Kidney Transplant With Pre-Existing Type 2 Diabetes (DM),2005-06-01T00:00:00Z,2014-10-01T00:00:00Z,2014-10-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2006,2005,2014,2014
NCT00352326,2017-05-18,2006-07-12,NA,Interventional,Not Applicable,29,Completed,Optimizing Assisted Communication Devices for Children With Motor Impairments Using a Model of Information Rate and Channel Capacity,2006-01-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2006,2006,2014,2014
NCT00375830,2019-11-11,2006-09-11,2019-10-19,Interventional,Phase 2,114,Completed,Combined 18F-NaF/18F-FDG PET/MRI for Detection of Skeletal Metastases,2006-01-01T00:00:00Z,2019-03-14T00:00:00Z,2017-04-17T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2006,2006,2019,2017
NCT00481832,2018-01-17,2007-05-31,2017-10-23,Interventional,Phase 2,50,Terminated,Autologous Followed by Non-myeloablative Allogeneic Transplantation for Non-Hodgkin's Lymphoma,2007-01-01T00:00:00Z,2017-03-30T00:00:00Z,2014-10-27T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2007,2007,2017,2014
NCT00490529,2020-01-08,2007-06-20,2019-11-13,Interventional,Phase 2,59,Completed,Phase 1-2 of a CpG-Activated Whole Cell Vaccine Followed by Autologous Immunotransplant for MCL,2009-08-01T00:00:00Z,2017-12-14T00:00:00Z,2017-12-14T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,2007,2009,2017,2017
NCT00499616,2021-07-01,2007-07-10,2015-12-01,Interventional,Phase 3,464,Completed,Combination Chemotherapy and Surgery With or Without Isotretinoin in Treating Young Patients With Neuroblastoma,2007-10-08T00:00:00Z,2021-06-30T00:00:00Z,2014-06-30T00:00:00Z,TRUE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,Lucile Packard Children's Hospital at Stanford University Medical Center,2007,2007,2021,2014
